Supplementary table 2_3: Pearson correlation results of N-RNA			
Human		Gorilla	
pos	neg	pos	neg
N = 2576	N = 4929	N = 1763	N = 2261
RN7SL388P	AP002371.1	SKA2	ZIC5
RPS4XP11	AL646090.1	AC125257.1	NUTM2F
RPL30	NGB	IDH2-DT	MYCN
BMI1	LINC02568	LDHAP2	DGKK
ZNF3	LINC01811	VTI1B	LIMD1
AC023300.3	AL118523.1	LAPTM4A	GABBR1
AL160006.1	AL136317.2	AC027801.3	FOXC1
ZSCAN4	AL161672.1	AL162231.1	MLYCD
ZNF862	HS3ST3B1	AL807776.1	DUSP23
AL354892.2	ADGRB1	RPSAP4	RPS16P8
CAMLG	AC003070.2	SNAP29	AC027288.3
AL139095.2	PTMAP11	C18orf21	HMG20B
SKIDA1	AC005005.3	AL035419.1	AC125611.2
AC099789.1	BRI3P1	ZNF480	FERMT1
AC009802.1	WDR90	LAMB4	TMEM147-AS1
IGBP1-AS2	GJD3	CPSF4	AP001271.2
AREL1	AC026620.1	FTH1P2	OCSTAMP
AC116667.1	AGTRAP	U91328.1	ACD
DENND1B	PTMAP5	RPL36A-HNRNPH2	CNOT6L
AC024361.2	HSPB7	ARL16	C1orf147
AC087393.3	AC019185.1	GTF3C4	EXOC2
AC010185.1	DIAPH2-AS1	PRIMPOL	ULK1
POLR3GL	PLEKHH3	CENPF	AC073314.1
GRIP2	PTPRZ1	GPR89A	GPRIN3
ATP6V1G2-DDX39B	MGAT4C	AC011246.1	KCNMA1-AS1
BAZ1A	TMEM147-AS1	RN7SL767P	LCN12
AC068870.2	OR2A9P	FAM218A	AC009061.2
ABCB10P4	AC114550.1	MTCO1P24	AP003718.1
NAIPP2	MBL1P	ERV3-1	RPL18AP2
NPC1	LINC01416	MACORIS	ALOX12
AC010163.1	AC009102.3	SEPTIN7P9	WDFY3
AC079848.1	AL590426.1	AL133395.1	B9D1
ALDH1A1	C5orf46	AC136475.7	FOXI3
AC008073.3	AC020917.2	TMEM211	GJB4
CYTH1	CARNMT1-AS1	AL022318.4	SLC28A1
RBCK1	COL5A1-AS1	MAGEA11	ITIH2
AC244033.2	INPP5J	AL355388.1	SNHG20
AL731569.1	AC010809.3	UGDH	FGF4
AC007969.1	AL583810.2	DEGS1	AC004893.3
KANSL3	CACNA2D3	GVINP2	ABHD12B
DDX50	BRD4	AL008721.1	COMMD10
RFX3	TNK2	MIS12	MMUT
DDIT4	AC005726.4	NOS2P1	FBXW11
AC025370.1	PRKCA	MEIS2	FGF20
AC046134.1	TOR1B	HPS1	CD24P4
LRCH1	AC141586.2	TMEM45A	RAC2
AC008038.1	CDC42-AS1	STN1	NPIPB12
AL591519.1	AC092171.2	AC068057.2	AC090616.2
CACNB4	LPAR3	MAP3K11	MSH5
CD36	ITGA10	ITIH5	FAM78B
AC026362.1	AC010542.1	BCL7C	MMP10
DCANP1	SDHB	LSAMP	CBR3
GSN	AL160272.1	AC002056.1	AP000350.5
AL645941.3	AC010761.3	AC011506.1	PXN
LMAN2L	SMIM22	RPLP0	ACBD5
TRARG1	AC067750.1	ANP32E	CLEC5A
AL022326.2	EPOR	MSRB2	ID1
HES1	AC079336.2	AC005041.5	OGFRP1
COL4A2-AS1	AL662907.2	MAD1L1	SYVN1
AC105271.1	YES1	OMG	MST1
SNAP29	MALSU1	AP002383.2	ACBD7
BORCS7	AC093788.1	FOXM1	MIR1301
DNAJC25-GNG10	HSPE1P26	AL359265.2	TSSK3
AL096828.2	AC093525.1	UNC119B	NOXRED1
AL356489.2	C1QTNF2	AC019117.3	AC145207.8
AL161772.1	NEPNP	CHAF1B	ITGA7
AADAT	DTNB	DPPA3P1	ARHGAP8
AC012409.3	ATP6V0CP1	AC004816.2	HSF5
AC018754.1	LINC02582	PPP1R3C	EPOR
H3P13	CYP2D7	AC007387.1	STAR
SYT15	ZNF730	POLD3	AL035106.1
PPIAP74	RNU6-118P	AC005697.1	PROSER1
TAF1A	Z99127.1	ERI2	AC093673.1
GRAMD1C	TMEM154	CHROMR	SGK3
AC106873.5	SLC39A5	CEP78	JPH4
ZNF624	FAM83H	PCMT1	AL031768.2
TPT1P12	AC145098.2	RPL39	OR56A4
MIR6073	PRB4	MYL6P1	B3GNT7
PLP1	DOK4	NNT	AL450992.4
SIM1	RNA5SP57	AC034229.4	AL390800.1
EPHB1	UBR4	STIMATE-MUSTN1	SLC5A5
AL121899.1	UBAP2	NEU1	ZNF57
AC114947.2	AC092275.1	RPL35AP19	MATN4
GALNT2	AP005131.4	TUBA1B	BPIFB3
PSD3	AC004448.2	CENPO	AC018512.1
XPR1	AC010976.1	UHRF1	SIX5
PTPRD-AS1	FAM187B	CDV3	AL136131.2
EEF1DP2	AC015802.5	EPHB1	RDH11
AC006064.2	AL021393.1	AL592293.1	CELSR3
AC009309.2	PPP2R5E	FKBP8	CX3CR1
FZD1	MS4A15	AL139023.1	STX18-AS1
AC004877.1	SNORD5	USP3-AS1	TCF15
AC112484.4	SNORA62	PLEKHA8	TNRC6A
MIR7844	TPM3P6	SCNM1	MB
AL023806.1	HMGA2-AS1	RPS23P2	NAGPA-AS1
TSPAN5	LINC01470	AC080128.3	CRHR2
SAP30	STAG3L3	DAPK2	EPHA6
CHCHD2	AC009166.2	TMEM97	AC087392.4
RPL23AP2	PLEC	AC091271.1	PRDM11
NSMCE1	AL121992.3	SH3BGRL	CD6
CRELD1	AC092287.1	RPL37P2	MIR935
ASTN1	AC126603.1	DYNLL2	AC003043.2
JMJD4	AC080079.2	AL049873.1	H2BC20P
RNU6-501P	ACSM5	SLC20A2	AC008267.2
MEF2C-AS1	AL450992.1	RPL13P6	PDYN
HADHB	AP002852.1	B2M	MPPED2
ENKD1	LRRC69	AC092125.2	SNX18P7
IL16	SERPING1	PPM1M	TDH
CBY1	RPSAP75	CTNNAL1	CLCNKA
NICN1	PAQR6	NEK6	NANOGP2
COL6A4P2	CTAGE16P	AC104759.1	MYO18B
CYB5D2	BUB1	AC011933.1	AP001266.1
AC008393.1	AC004775.1	ACTR2	SPACA7
HAUS1P2	MYSM1	AC010469.2	AC091144.2
PTPRM	AC010333.2	PKIG	AC010776.2
ARHGAP24	CABYR	CKAP2	ZNF770
ZNF184	PAIP2B	AC005086.3	CHD8
ACADS	TBCE	TIPARP	AVL9
TEX26	HCG4B	EXT2	AC104335.2
GDI2P2	E2F3	H4C3	ADGRG5
EGR2	DHRS11	HMCES	BSPRY
FOXE3	AC023271.1	AC174065.1	COBLL1
PDS5B	TSKS	AC002064.4	ERBB2
ORAI2	FBN3	GTF2IRD1	ILDR1
DDIT4-AS1	AC011473.4	AC064847.1	DHRSX
AL445985.1	AL590764.2	RPSAP9	AC021237.1
AC008957.3	AC008687.2	SIK2	AC146507.3
HABP4	SFRP1	AP000311.1	MLPH
AC012123.1	AC006001.2	CDS2	SOCS1
EXOC3-AS1	TMEM144	MOB1A	MIR3663HG
TMEM116	AC092068.2	AC084824.2	OPTC
ZNF189	UPK2	TIMM17B	AC124319.3
ZNF473	RSPH10B2	GPR161	FGD5
FAM151B	AC007224.2	RPL23AP44	ZFHX2-AS1
AC008443.5	AC108174.1	CES1P2	HSPB1
TBC1D3P1-DHX40P1	XRCC2	ZNF426	AIMP1P1
AC008555.1	GCNA	MED4	RBL2
AC025164.2	FPR3	LINC01842	AC006116.3
SDK2	SCARNA6	RPL31P50	SPATA2
NCSTN	AL109837.3	RFC5	CNNM2
AC010655.2	COL4A3	AC006064.4	SLC6A3
MMD	SUPV3L1	ZMAT2	LINC00858
ATOH7	COQ8A	FBXL4	PCYT1B
AL513318.2	LINC01880	USP6NL	FAM174B
AC109347.1	KRT18P39	MBTPS2	IGFBP3
AL359504.2	BDNF	RPP25L	FAM131B
VIRMA	EFR3A	KCTD20	ASH1L
LYVE1	MEF2D	AC022210.1	AC021074.2
CSNK1A1L	RN7SL521P	NCAPGP2	AC084018.2
LINC02217	AC106872.3	COX6C	PSME2
AC010894.2	FBXO24	AC126615.2	AL136221.1
RBAK-RBAKDN	LINC01391	CHGB	NBPF20
NXT1	RSL24D1P3	TMEM123	AL591686.2
AP001267.2	AC133041.1	RAD23B	AC011481.1
AC087477.2	AC092296.2	LINC01170	AC138932.1
PARVA	LEPROT	ILDR2	NPEPL1
AC005697.2	ARHGAP42P4	IMPDH1	CTC1
SMG6	MATN4	AC004147.4	AP002490.1
ZBED5-AS1	AC087885.1	HNRNPR	PPP1R14B-AS1
PLEKHM2	AL158801.4	GPX8	IL12RB2
ALDH5A1	TRIM65	ARL3	CCDC151
HAX1	OR2H2	ZNF286A	COQ9
RPL7	AC113615.2	LINC02500	TSSC2
SPATA22	CDC14B	NUP42	U73169.1
USP30	UNKL	UBE2C	AC245100.4
BAP1	TSNARE1	ST13P4	LINC00951
HEIH	AP006248.2	AC011477.2	CD164L2
PLEKHO1	AL078603.1	MIEF1	AC008945.1
LINC02115	RMC1	CDK16	AC069148.1
AL596275.1	PKNOX1	RPL7AP7	TGM1
CA3	TEX41	AC008040.1	CAD
AC008734.1	AL137024.1	SNORA7B	TENM4
AC004224.2	RN7SKP275	RPS13P2	LCP2
AC010422.5	U47924.3	ZCCHC3	VASP
