	Supplementary table 2_4: GO results of N-RNA (GO groups shown in Figure 2.2)						
	Enrichment FDR	nGenes	Pathway Genes	Fold Enrichment	Pathway	URL	Genes
BP:GO - correlated with both human and gorilla ZEB2 in the same direction (n = 1,607)	2.5E-02	84	902	1.65	GO:0035239 tube morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0035239	TNMD,FLT1,RASIP1,ENG,VASP,KDR,CNMD,PKNOX1,CDH2,RNF213,GATA2,SEMA6A,HMOX1,COL4A2,GLUL,KLF4,ADM,EPHB1,PRKX,TNFRSF12A,SPI1,PSEN1,LRP2,GRHL2,IFT52,ESRP2,PRKD2,COBL,C1GALT1,TGFBR1,GATA3,UNC5B,MDK,NR3C1,EPB41L5,FN1,APAF1,WNT1,C3,LAMA5,ANGPTL6,MYO18B,CEMIP2,EPHA7,ARHGAP24,LGR5,MFGE8,ST14,UBP1,HS2ST1,PRKCA,ZIC3,MYO1E,ACE,FOXH1,STOX1,RET,SPINT2,IRX2,LRG1,CSPG4,FZD4,FZD8,PBX1,APELA,FMN1,NRCAM,PIK3R3,CARD10,HDAC5,SFRP5,PAK1,TMIGD2,TDGF1,CASP8,LRP1,PODXL,MICAL2,ADAMTS9,DLC1,RBPMS2,PDGFA,ERBB2,ID1
	2.7E-02	31	244	2.31	GO:0046777 protein autophosphorylation	http://amigo.geneontology.org/amigo/term/GO:0046777	PIM2,TEC,PIM1,PDGFA,CDKL5,MRE11,RB1CC1,SLK,MYO3A,FLT1,PRKD2,ENG,STK16,PASK,STK11,NEK6,KDR,ERBB2,PAK1,EPHB1,INSR,ULK1,LCK,PRKX,MTOR,FLT3,EPHA7,ACE,MARK2,CAD,DAPK2
	2.7E-02	88	1038	1.54	GO:2000145 regulation of cell motility	http://amigo.geneontology.org/amigo/term/GO:2000145	FGF4,SEMA5B,ARHGAP4,SEMA6A,CXCL12,ABI3,TACR1,XG,RAC2,DOCK10,MARVELD3,TMSB15A,PDPN,SEMA4B,FGF16,PDGFA,SIN3B,ADAM17,PTPRU,CAMSAP3,FLT1,TGFBR1,ENG,MDK,WNT5B,FN1,KDR,PODXL,GLUL,KLF4,SORL1,GRB7,IGFBP3,CCDC25,PAK1,PRKCA,F2RL1,DLC1,RET,SPINT2,TAC4,PRKX,TDGF1,PAX6,CD9,SLK,SPI1,PYCARD,EPB41L5,ITGA4,LAMA5,WDPCP,PRDM14,UNC5D,APPL1,ACE,LDB2,CAVIN1,BCR,HMOX1,FERMT1,PRKD2,DAPK2,CDH1,SERPINB3,CTNNA2,PTPN23,EPB41L4B,CARD10,RAB11A,RARRES2,GATA3,HDAC5,RAB25,DOCK5,INSR,FZD4,GATA2,IFITM1,MTOR,APELA,LRP1,CHST4,ADAMTS9,PRAG1,PIK3R3,SGK3,IL6R
	2.7E-02	93	1109	1.52	GO:0051270 regulation of cellular component movement	http://amigo.geneontology.org/amigo/term/GO:0051270	FGF4,SEMA5B,ARHGAP4,SEMA6A,CXCL12,ABI3,TACR1,STK11,XG,RAC2,DOCK10,MARVELD3,TMSB15A,PDPN,SEMA4B,FGF16,PDGFA,SIN3B,ADAM17,PTPRU,CAMSAP3,FLT1,TGFBR1,ENG,MDK,WNT5B,FN1,KDR,PODXL,GLUL,KLF4,SORL1,GRB7,IGFBP3,CCDC25,PAK1,PRKCA,F2RL1,DLC1,RET,SPINT2,TAC4,PRKX,TDGF1,PAX6,CD9,SLK,SPI1,PYCARD,EPB41L5,ITGA4,TNNT2,LAMA5,WDPCP,PRDM14,UNC5D,APPL1,CFAP298,ACE,LDB2,CAVIN1,BCR,HMOX1,FERMT1,PRKD2,DAPK2,CDH1,SERPINB3,PKP2,CTNNA2,PTPN23,EPB41L4B,CARD10,RAB11A,RARRES2,GATA3,HDAC5,RAB25,HCN4,DOCK5,INSR,FZD4,GATA2,IFITM1,MTOR,APELA,LRP1,CHST4,ADAMTS9,PRAG1,PIK3R3,SGK3,IL6R
	2.7E-02	96	1123	1.51	GO:0035295 tube development	http://amigo.geneontology.org/amigo/term/GO:0035295	TNMD,GRHL2,FLT1,RASIP1,ENG,VASP,KDR,CNMD,PKNOX1,PDPN,CDH2,RNF213,GATA2,WDPCP,SEMA6A,HMOX1,COL4A2,GLUL,KLF4,ADM,EPHB1,PRKX,TNFRSF12A,PAX6,SPI1,PSEN1,LRP2,IFT52,ESRP2,PRKD2,COBL,C1GALT1,TGFBR1,GATA3,UNC5B,MDK,MAN2A1,NR3C1,EPB41L5,FN1,EPCAM,APAF1,DPPA4,WNT1,C3,LAMA5,ANGPTL6,MYO18B,CEMIP2,EPHA7,ARHGAP24,COL2A1,LGR5,MFGE8,GPR161,ST14,UBP1,HS2ST1,PRKCA,ZIC3,MYO1E,ACE,FOXH1,HEYL,STOX1,RET,SPINT2,IRX2,LRG1,CSPG4,FZD4,FZD8,PBX1,NKIRAS1,APELA,FMN1,NRCAM,PIK3R3,CARD10,RARRES2,HDAC5,SFRP5,PAK1,TMIGD2,TDGF1,CD24,CASP8,LRP1,PODXL,MICAL2,ADAMTS9,DLC1,RBPMS2,PDGFA,ERBB2,ID1
	2.7E-02	123	1602	1.43	GO:0016477 cell migration	http://amigo.geneontology.org/amigo/term/GO:0016477	LAMC3,CTNNA2,FGF4,SEMA5B,PXN,ARHGAP4,SEMA6A,FLT1,RHOV,FSCN3,ENG,ATRNL1,CXCL12,ABI3,WWC1,ITGA4,XG,USP9X,KDR,RAC2,PODXL,LAMA5,NAV1,DOCK10,ARHGAP24,RHOF,MARVELD3,DOCK5,TMSB15A,CXCR5,PDPN,ARPC5,CXCL5,MST1R,GPC6,FMNL1,SEMA4B,FGF16,LAMB3,PDGFA,TGFBR3L,SIN3B,ADAM17,IL6R,ITGAL,PTPRU,CAMSAP3,FERMT1,TGFBR1,GATA3,MDK,WNT5B,FN1,TNFSF11,GLUL,KLF4,SORL1,GRB7,IGFBP3,PAK1,PRKCA,EPHB1,F2RL1,DLC1,RET,CENPV,PRKX,TDGF1,PAX6,CD9,SLK,SPI1,PSEN1,HSD3B7,PYCARD,EPB41L5,TACR1,WDPCP,UNC5D,APPL1,ACE,SUN1,LDB2,CDH2,LRG1,CSPG4,PLEC,GATA2,BCR,HMOX1,PRKD2,PIK3R3,DAPK2,CDH1,SERPINB3,PTPN23,EPB41L4B,CARD10,RAB11A,RARRES2,HDAC5,ARHGEF16,RAB25,LIMD1,INSR,FZD4,IFITM1,MTOR,APELA,PRAG1,CDKL5,MARK2,LRP1,CHST4,AUTS2,ADAMTS9,ZEB2,CD24,NRCAM,DGKZ,SGK3,ID1,LCK
	2.7E-02	209	2867	1.30	GO:0009653 anatomical structure morphogenesis	http://amigo.geneontology.org/amigo/term/GO:0009653	TNMD,CDKL5,NEDD4L,LAMC3,SDK2,NEDD4,FGF4,SEMA5B,PXN,NRCAM,SEMA6A,EZR,TRIOBP,FLT1,RASIP1,HPN,ENG,ATRNL1,CXCL12,UNC5B,FAM20A,TNNT2,SLITRK3,VASP,KDR,RAC2,LAMA5,EPHA7,DOCK10,CNMD,ARHGAP24,RHOF,CNTN4,BOC,FAM171A1,PAK1,EPHB1,NPTN,UNC5D,DUSP2,PKNOX1,PDPN,SLITRK5,FBN1,CDH2,RNF213,FZD4,ULK1,GATA2,FMNL1,SEMA4B,PBX1,FOXE3,FGF16,LAMB3,COL13A1,FOXI3,WDPCP,CAMSAP3,HMOX1,RASAL1,NANOG,FN1,CPNE5,UNC13A,COL4A2,GLUL,KLF4,PIM1,SYT2,CPNE9,ADM,PRKX,TNFRSF12A,PAX6,CD9,JADE2,FOXN3,COL11A1,CTNNA2,SPI1,TNFRSF1A,ST6GAL1,ITGA8,PSEN1,LRP2,GRHL2,DDHD2,ARHGAP4,UNC13D,YY1,IFT52,ESRP2,PRKD2,DNAJB6,COBL,C1GALT1,TGFBR1,GATA3,NFKB1,ZBTB16,MDK,MDFI,MAN2A1,NR3C1,EPB41L5,ITGA4,SPTBN1,OTX1,STK11,TNFSF11,APAF1,LHX4,NEUROG3,WNT1,C3,ID1,ANGPTL6,RAB25,MYO18B,CEMIP2,ANKRD6,BCAR3,COL2A1,LGR5,FRMD6,MFGE8,FURIN,ERBB2,CD53,CSRNP1,PRDM14,ST14,EXT2,UBP1,HS2ST1,PRKCA,ZIC3,MYO1E,FANCC,ACE,FOXH1,OMA1,LHX8,CAPN2,HEYL,SP8,ADCY1,STOX1,RET,SPINT2,IRX2,INSR,LRG1,CSPG4,CNP,UGT8,SCUBE2,KDF1,FZD8,PLEC,GPC6,GDF3,SOCS3,BCR,BLOC1S5,MTOR,APELA,FMN1,MMP15,ADAM17,FERMT1,PIK3R3,PKP2,MARK2,CARD10,HDAC5,SFRP5,USP9X,WASF3,LIMD1,DOCK5,NBEAL2,DLC1,TMIGD2,BCOR,RIPK4,BCL9L,TDGF1,CASP8,MYO3A,ABI3,WNT5B,LRP1,PODXL,ANO1,MICAL2,ANK3,FGD5,AUTS2,ADAMTS9,RBPMS2,SPRY3,RYR1,NACA,PDGFA,PRAG1,MLXIPL,PAX3
	2.7E-02	296	4552	1.23	GO:0030154 cell differentiation	http://amigo.geneontology.org/amigo/term/GO:0030154	MRC2,CDKL5,MAP4,NEDD4L,LAMC3,STYK1,CASP8,SPI1,NEDD4,FGF4,BRINP1,SEMA5B,PXN,NRCAM,SEMA6A,TDRD1,TRIOBP,CDK16,FLT1,HPN,ERF,AKNA,ENG,GATA3,ATRNL1,CXCL12,UNC5B,UPK2,WNT5B,PLEKHB2,TNNT2,LHX4,SLITRK3,FLT3,NEUROG3,WNT1,VASP,BFSP1,ID1,KDR,RAC2,LAMA5,NR1H2,NAV1,EPHA7,KRT7,DOCK10,ZFHX2,ERBB2,CNTN4,BOC,PAK1,ST14,EPHB1,NPTN,UNC5D,ERG,PDPN,LHX8,TDRD10,HEYL,SLITRK5,RBPMS2,GSX1,AHSP,CDH2,IRX2,OVOL1,HES3,ULK1,GATA2,LCK,RIMBP3C,SEMA4B,PBX1,FOXE3,FANCA,FGF16,LAMB3,FOXI3,TGFBR3L,SPIB,SMARCE1,BCL7C,NFKB1,BICRAL,ITGA4,PIK3R3,MYB,ACE,MARK2,NFATC3,CAMSAP3,GRHL2,TGFBR1,SETX,MMD,MDK,RASAL1,NANOG,FN1,TNFSF11,PRXL2A,CPNE5,UNC13A,ANP32B,DYRK3,SYT2,CPNE9,IGFBP3,ADM,F2RL1,FBN1,LRG1,PRKX,GDF3,MAPK12,BLOC1S5,TRIM16,TNMD,SLC4A1,TNFRSF12A,PAX6,JARID2,CD9,PIAS1,CDH1,JADE2,ZIC2,TRAF3IP2,RASGRF1,PTPRU,COL11A1,HMG20B,CTNNA2,TFE3,SDK2,ST6GAL1,RAP1GAP,ITGA8,PSEN1,LRP2,LAG3,ARHGAP4,DAZL,UNC13D,CREM,PNPLA3,YY1,RASIP1,DNAJB6,COBL,GHRHR,FSCN3,C1GALT1,RARRES2,ZBTB16,PARP11,LTBR,MDFI,TENT5A,MAN2A1,BCHE,EPB41L5,RGS2,STK11,PPL,DNMT3A,SFRP5,APAF1,IFT81,FAM210B,RAB17,C3,GDPD2,ANGPTL6,FIGNL1,RAB25,WASF3,MYO18B,HOOK1,BICDL1,CNMD,KLF4,CDK5RAP2,PIM1,SORL1,TRIM54,ARHGAP24,HERC6,COL2A1,LGR5,LNX2,ZIC5,FRMD6,TAF4B,CD53,ILDR2,WDPCP,LIMD1,PRDM14,FOXO1,EXT2,ABCA5,LRGUK,ZIC3,MYO1E,FANCC,PKNOX1,GAB3,IL6R,CAPN2,CDS1,ADAMTS9,RBM47,ADCY1,SUN1,NFIL3,ZHX1,UCMA,RET,NAV2,SPINT2,BATF2,SPRY3,DLK2,LRRC8C,RASGRP4,MBOAT1,CSPG4,CNP,SLCO4C1,UGT8,LARP7,FZD4,SCUBE2,KDF1,TRIM72,FZD8,PLEC,SOCS3,SMYD3,NPAP1,RTN4RL1,BCL9L,GABRA5,COL13A1,MB,CARD11,SMOC1,MTOR,ZNF521,UBE2J1,PEG10,APELA,MMP15,COL4A2,ITGAM,EZR,MYLIP,LMO3,SERPINB3,PKP2,CDH3,TNFRSF1A,MACROH2A2,RAB11A,OLFM2,HDAC5,RAB32,EPCAM,USP9X,OSBPL11,DOCK5,NBEAL2,IFITM1,BCR,CD24,ESRP1,ABI3,P3H1,LRP1,PODXL,ANO1,ANK3,DRD3,ADAM17,PRKCA,AUTS2,NFKBID,ZEB2,RYR1,NACA,PRAG1,FADS1,TDGF1
	2.7E-02	296	4576	1.22	GO:0048869 cellular developmental process	http://amigo.geneontology.org/amigo/term/GO:0048869	MRC2,CDKL5,MAP4,NEDD4L,LAMC3,STYK1,CASP8,SPI1,NEDD4,FGF4,BRINP1,SEMA5B,PXN,NRCAM,SEMA6A,TDRD1,TRIOBP,CDK16,FLT1,HPN,ERF,AKNA,ENG,GATA3,ATRNL1,CXCL12,UNC5B,UPK2,WNT5B,PLEKHB2,TNNT2,LHX4,SLITRK3,FLT3,NEUROG3,WNT1,VASP,BFSP1,ID1,KDR,RAC2,LAMA5,NR1H2,NAV1,EPHA7,KRT7,DOCK10,ZFHX2,ERBB2,CNTN4,BOC,PAK1,ST14,EPHB1,NPTN,UNC5D,ERG,PDPN,LHX8,TDRD10,HEYL,SLITRK5,RBPMS2,GSX1,AHSP,CDH2,IRX2,OVOL1,HES3,ULK1,GATA2,LCK,RIMBP3C,SEMA4B,PBX1,FOXE3,FANCA,FGF16,LAMB3,FOXI3,TGFBR3L,SPIB,SMARCE1,BCL7C,NFKB1,BICRAL,ITGA4,PIK3R3,MYB,ACE,MARK2,NFATC3,CAMSAP3,GRHL2,TGFBR1,SETX,MMD,MDK,RASAL1,NANOG,FN1,TNFSF11,PRXL2A,CPNE5,UNC13A,ANP32B,DYRK3,SYT2,CPNE9,IGFBP3,ADM,F2RL1,FBN1,LRG1,PRKX,GDF3,MAPK12,BLOC1S5,TRIM16,TNMD,SLC4A1,TNFRSF12A,PAX6,JARID2,CD9,PIAS1,CDH1,JADE2,ZIC2,TRAF3IP2,RASGRF1,PTPRU,COL11A1,HMG20B,CTNNA2,TFE3,SDK2,ST6GAL1,RAP1GAP,ITGA8,PSEN1,LRP2,LAG3,ARHGAP4,DAZL,UNC13D,CREM,PNPLA3,YY1,RASIP1,DNAJB6,COBL,GHRHR,FSCN3,C1GALT1,RARRES2,ZBTB16,PARP11,LTBR,MDFI,TENT5A,MAN2A1,BCHE,EPB41L5,RGS2,STK11,PPL,DNMT3A,SFRP5,APAF1,IFT81,FAM210B,RAB17,C3,GDPD2,ANGPTL6,FIGNL1,RAB25,WASF3,MYO18B,HOOK1,BICDL1,CNMD,KLF4,CDK5RAP2,PIM1,SORL1,TRIM54,ARHGAP24,HERC6,COL2A1,LGR5,LNX2,ZIC5,FRMD6,TAF4B,CD53,ILDR2,WDPCP,LIMD1,PRDM14,FOXO1,EXT2,ABCA5,LRGUK,ZIC3,MYO1E,FANCC,PKNOX1,GAB3,IL6R,CAPN2,CDS1,ADAMTS9,RBM47,ADCY1,SUN1,NFIL3,ZHX1,UCMA,RET,NAV2,SPINT2,BATF2,SPRY3,DLK2,LRRC8C,RASGRP4,MBOAT1,CSPG4,CNP,SLCO4C1,UGT8,LARP7,FZD4,SCUBE2,KDF1,TRIM72,FZD8,PLEC,SOCS3,SMYD3,NPAP1,RTN4RL1,BCL9L,GABRA5,COL13A1,MB,CARD11,SMOC1,MTOR,ZNF521,UBE2J1,PEG10,APELA,MMP15,COL4A2,ITGAM,EZR,MYLIP,LMO3,SERPINB3,PKP2,CDH3,TNFRSF1A,MACROH2A2,RAB11A,OLFM2,HDAC5,RAB32,EPCAM,USP9X,OSBPL11,DOCK5,NBEAL2,IFITM1,BCR,CD24,ESRP1,ABI3,P3H1,LRP1,PODXL,ANO1,ANK3,DRD3,ADAM17,PRKCA,AUTS2,NFKBID,ZEB2,RYR1,NACA,PRAG1,FADS1,TDGF1
