study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA641393	SAMN15352023	SRX8603229	SRR12075847	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/047/SRR12075847/SRR12075847.fastq.gz		
PRJNA641393	SAMN15352022	SRX8603230	SRR12075848	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/048/SRR12075848/SRR12075848.fastq.gz		
PRJNA641393	SAMN15352021	SRX8603231	SRR12075849	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/049/SRR12075849/SRR12075849.fastq.gz		
PRJNA641393	SAMN15352020	SRX8603232	SRR12075850	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/050/SRR12075850/SRR12075850.fastq.gz		
PRJNA641393	SAMN15352019	SRX8603233	SRR12075851	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/051/SRR12075851/SRR12075851.fastq.gz		
PRJNA641393	SAMN15352018	SRX8603234	SRR12075852	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/052/SRR12075852/SRR12075852.fastq.gz		
PRJNA641393	SAMN15352017	SRX8603235	SRR12075853	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/053/SRR12075853/SRR12075853.fastq.gz		
PRJNA641393	SAMN15352016	SRX8603236	SRR12075854	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/054/SRR12075854/SRR12075854.fastq.gz		
PRJNA641393	SAMN15352015	SRX8603237	SRR12075855	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/055/SRR12075855/SRR12075855.fastq.gz		
PRJNA641393	SAMN15352014	SRX8603238	SRR12075856	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/056/SRR12075856/SRR12075856.fastq.gz		
PRJNA641393	SAMN15352013	SRX8603239	SRR12075857	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/057/SRR12075857/SRR12075857.fastq.gz		
PRJNA641393	SAMN15352012	SRX8603240	SRR12075858	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/058/SRR12075858/SRR12075858.fastq.gz		
PRJNA641393	SAMN15352011	SRX8603241	SRR12075859	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/059/SRR12075859/SRR12075859.fastq.gz		
PRJNA641393	SAMN15352010	SRX8603242	SRR12075860	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/060/SRR12075860/SRR12075860.fastq.gz		
PRJNA641393	SAMN15352009	SRX8603243	SRR12075861	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/061/SRR12075861/SRR12075861.fastq.gz		
PRJNA641393	SAMN15352008	SRX8603244	SRR12075862	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/062/SRR12075862/SRR12075862.fastq.gz		
PRJNA641393	SAMN15352007	SRX8603245	SRR12075863	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/063/SRR12075863/SRR12075863.fastq.gz		
PRJNA641393	SAMN15352006	SRX8603246	SRR12075864	9606	Homo sapiens	ftp.sra.ebi.ac.uk/vol1/fastq/SRR120/064/SRR12075864/SRR12075864.fastq.gz		
