Geneid	Genesymbol
ENSG00000225630.1	MTND2P28
ENSG00000162572.21	SCNN1D
ENSG00000221978.13	CCNL2
ENSG00000197785.14	ATAD3A
ENSG00000157870.17	PRXL2B
ENSG00000237058.1	MMEL1-AS1
ENSG00000158109.15	TPRG1L
ENSG00000116213.16	WRAP73
ENSG00000293478.1	GFOD3P
ENSG00000116237.16	ICMT
ENSG00000116273.6	PHF13
ENSG00000007923.17	DNAJC11
ENSG00000116285.13	ERRFI1
ENSG00000271264.1	MZT1P1
ENSG00000178585.15	CTNNBIP1
ENSG00000285701.1	ENSG00000285701
ENSG00000228150.1	ENSG00000228150
ENSG00000116649.10	SRM
ENSG00000225602.5	MTOR-AS1
ENSG00000120942.14	UBIAD1
ENSG00000226526.1	ENSG00000226526
ENSG00000159363.19	ATP13A2
ENSG00000169991.11	IFFO2
ENSG00000286064.1	ENSG00000286064
ENSG00000158828.8	PINK1
ENSG00000127483.19	HP1BP3
ENSG00000237200.1	ZBTB40-IT1
ENSG00000088280.21	ASAP3
ENSG00000007968.7	E2F2
ENSG00000011007.13	ELOA
ENSG00000261349.1	ENSG00000261349
ENSG00000142684.9	ZNF593
ENSG00000130695.16	CEP85
ENSG00000131914.11	LIN28A
ENSG00000117676.14	RPS6KA1
ENSG00000204160.12	ZDHHC18
ENSG00000273544.1	SNORA44
ENSG00000025800.14	KPNA6
ENSG00000084652.16	TXLNA
ENSG00000160051.12	IQCC
ENSG00000116525.14	TRIM62
ENSG00000020129.16	NCDN
ENSG00000196182.11	STK40
ENSG00000163877.11	SNIP1
ENSG00000196449.4	YRDC
ENSG00000188786.10	MTF1
ENSG00000214114.9	MYCBP
ENSG00000274944.4	ENSG00000274944
ENSG00000174574.16	AKIRIN1
ENSG00000243970.6	PPIEL
ENSG00000236546.1	MYCL-AS1
ENSG00000260920.2	ENSG00000260920
ENSG00000171793.17	CTPS1
ENSG00000117385.16	P3H1
ENSG00000186973.11	CFAP144
ENSG00000117461.15	PIK3R3
ENSG00000278139.1	P3R3URF-PIK3R3
ENSG00000185104.21	FAF1
ENSG00000123091.5	RNF11
ENSG00000085832.18	EPS15
ENSG00000232027.2	ENSG00000232027
ENSG00000154222.15	CC2D1B
ENSG00000162377.6	COA7
ENSG00000234578.1	ENSG00000234578
ENSG00000162409.12	PRKAA2
ENSG00000132854.19	KANK4
ENSG00000088035.18	ALG6
ENSG00000213625.9	LEPROT
ENSG00000116729.14	WLS
ENSG00000184005.12	ST6GALNAC3
ENSG00000272855.1	ENSG00000272855
ENSG00000117114.21	ADGRL2
ENSG00000142875.21	PRKACB
ENSG00000117155.17	SSX2IP
ENSG00000153904.21	DDAH1
ENSG00000207234.1	RNU6-125P
ENSG00000171492.14	LRRC8D
ENSG00000162664.17	ZNF326
ENSG00000069702.11	TGFBR3
ENSG00000122483.18	CCDC18
ENSG00000229635.1	ENSG00000229635
ENSG00000137942.18	FNBP1L
ENSG00000023909.10	GCLM
ENSG00000137962.13	ARHGAP29
ENSG00000137996.13	RTCA
ENSG00000162695.12	SLC30A7
ENSG00000198890.9	PRMT6
ENSG00000134243.12	SORT1
ENSG00000143093.15	STRIP1
ENSG00000156150.9	ALX3
ENSG00000186150.5	UBL4B
ENSG00000116455.14	WDR77
ENSG00000007341.19	ST7L
ENSG00000197323.12	TRIM33
ENSG00000134259.6	NGF
ENSG00000163399.16	ATP1A1
ENSG00000116830.12	TTF2
ENSG00000116874.12	WARS2
ENSG00000231365.7	WARS2-AS1
ENSG00000117262.19	GPR89A
ENSG00000227733.12	ENSG00000227733
ENSG00000228626.1	ENSG00000228626
ENSG00000159164.10	SV2A
ENSG00000277452.1	RN7SL473P
ENSG00000143398.20	PIP5K1A
ENSG00000229780.1	UBE2Q1-AS1
ENSG00000163348.4	PYGO2
ENSG00000271380.1	ENSG00000271380
ENSG00000160691.19	SHC1
ENSG00000143537.14	ADAM15
ENSG00000236263.1	ENSG00000236263
ENSG00000177628.16	GBA1
ENSG00000160753.17	RUSC1
ENSG00000125459.18	MSTO1
ENSG00000132688.11	NES
ENSG00000223356.1	ENSG00000223356
ENSG00000118217.7	ATF6
ENSG00000143248.13	RGS5
ENSG00000143157.12	POGK
ENSG00000213064.10	SFT2D2
ENSG00000143153.14	ATP1B1
ENSG00000000460.17	FIRRM
ENSG00000285777.1	ENSG00000285777
ENSG00000117593.12	DARS2
ENSG00000116199.12	FAM20B
ENSG00000116260.17	QSOX1
ENSG00000265435.1	MIR3121
ENSG00000243155.1	ENSG00000243155
ENSG00000135829.17	DHX9
ENSG00000143344.16	RGL1
ENSG00000238061.2	ENSG00000238061
ENSG00000273004.1	ENSG00000273004
ENSG00000116750.14	UCHL5
ENSG00000162702.8	ZNF281
ENSG00000118193.12	KIF14
ENSG00000163362.11	INAVA
ENSG00000214796.10	TUBA5P
ENSG00000221643.1	SNORA77
ENSG00000276600.5	RAB7B
ENSG00000162889.11	MAPKAPK2
ENSG00000123836.15	PFKFB2
ENSG00000162757.4	C1orf74
ENSG00000289700.1	ENSG00000289700
ENSG00000226251.8	LINC02608
ENSG00000065600.13	PACC1
ENSG00000143499.14	SMYD2
ENSG00000092978.11	GPATCH2
ENSG00000136628.18	EPRS1
