Geneid	Genesymbol
ENSG00000224870.9	MRPL20-AS1
ENSG00000284740.3	ENSG00000284740
ENSG00000292993.1	ENSG00000292993
ENSG00000269896.3	ENSG00000269896
ENSG00000157870.17	PRXL2B
ENSG00000130762.15	ARHGEF16
ENSG00000116237.16	ICMT
ENSG00000225077.3	ICMT-DT
ENSG00000162413.17	KLHL21
ENSG00000225602.5	MTOR-AS1
ENSG00000142632.17	ARHGEF19
ENSG00000288398.1	ENSG00000288398
ENSG00000218510.9	LINC00339
ENSG00000184677.18	ZBTB40
ENSG00000264014.1	MIR4253
ENSG00000169641.16	LUZP1
ENSG00000007968.7	E2F2
ENSG00000238482.1	RNU6-1208P
ENSG00000117713.21	ARID1A
ENSG00000090020.11	SLC9A1
ENSG00000130772.14	MED18
ENSG00000229388.1	TAF12-DT
ENSG00000229447.2	ENSG00000229447
ENSG00000142686.8	C1orf216
ENSG00000092847.14	AGO1
ENSG00000185090.15	MANEAL
ENSG00000233728.1	ENSG00000233728
ENSG00000168389.18	MFSD2A
ENSG00000186973.11	CFAP144
ENSG00000117408.11	IPO13
ENSG00000289407.1	ENSG00000289407
ENSG00000291246.1	ENSG00000291246
ENSG00000117834.13	SLC5A9
ENSG00000085840.13	ORC1
ENSG00000256407.2	ENSG00000256407
ENSG00000215883.11	CYB5RL
ENSG00000116133.13	DHCR24
ENSG00000117069.15	ST6GALNAC5
ENSG00000288543.1	ENSG00000288543
ENSG00000117155.17	SSX2IP
ENSG00000097096.10	SYDE2
ENSG00000153904.21	DDAH1
ENSG00000153936.18	HS2ST1
ENSG00000267561.2	ENSG00000267561
ENSG00000122482.22	ZNF644
ENSG00000215873.2	FEN1P1
ENSG00000232878.3	DPYD-AS1
ENSG00000288826.1	ENSG00000288826
ENSG00000162639.16	HENMT1
ENSG00000143126.8	CELSR2
ENSG00000134243.12	SORT1
ENSG00000118655.8	DCLRE1B
ENSG00000290569.1	ENSG00000290569
ENSG00000223804.6	ENSG00000223804
ENSG00000286106.3	NOTCH2NLR
ENSG00000266338.7	NBPF15
ENSG00000270339.4	PPIAL4H
ENSG00000274372.5	ENSG00000274372
ENSG00000201699.1	RNVU1-24
ENSG00000289288.2	ENSG00000289288
ENSG00000143373.18	ZNF687
ENSG00000203288.6	TDRKH-AS1
ENSG00000282386.1	ENSG00000282386
ENSG00000225082.2	DAP3P1
ENSG00000162706.13	CADM3
ENSG00000225670.4	CADM3-AS1
ENSG00000232995.7	ENSG00000232995
ENSG00000272205.2	POU2F1-DT
ENSG00000143147.15	GPR161
ENSG00000285777.1	ENSG00000285777
ENSG00000075391.18	RASAL2
ENSG00000121454.6	LHX4
ENSG00000173627.8	APOBEC4
ENSG00000273004.1	ENSG00000273004
ENSG00000116852.15	KIF21B
ENSG00000229191.1	ENSG00000229191
ENSG00000293264.1	ACTG1P25
ENSG00000234996.5	ACTG1P25
ENSG00000143842.15	SOX13
ENSG00000286619.1	PM20D1-AS1
ENSG00000162877.13	PM20D1
ENSG00000276600.5	RAB7B
ENSG00000143469.21	SYT14
ENSG00000236317.1	ENSG00000236317
ENSG00000082482.14	KCNK2
ENSG00000186205.14	MTARC1
ENSG00000286231.1	ENSG00000286231
ENSG00000291068.1	ENSG00000291068
ENSG00000272562.2	H3-3A-DT
ENSG00000143801.18	PSEN2
ENSG00000143816.8	WNT9A
ENSG00000227006.2	ENSG00000227006
ENSG00000162946.24	DISC1
ENSG00000168243.11	GNG4
ENSG00000270710.1	ENSG00000270710
ENSG00000116977.19	LGALS8
ENSG00000133019.12	CHRM3
ENSG00000223963.2	THAP12P8
ENSG00000286496.1	ENSG00000286496
ENSG00000203668.3	CHML
ENSG00000235990.2	RPL23AP20
ENSG00000223519.9	KIF28P
ENSG00000197472.15	ZNF695
ENSG00000135747.11	ZNF670-ZNF695
ENSG00000290683.1	ENSG00000290683
ENSG00000289234.2	ZNF496-DT
ENSG00000130508.11	PXDN
ENSG00000289136.1	ENSG00000289136
ENSG00000224128.1	LINC01248
ENSG00000230090.5	ENSG00000230090
ENSG00000170745.12	KCNS3
ENSG00000271991.3	TTC32-DT
ENSG00000231948.2	HS1BP3-IT1
ENSG00000143970.18	ASXL2
ENSG00000187536.4	TPM3P7
ENSG00000157851.17	DPYSL5
ENSG00000230286.1	ENSG00000230286
ENSG00000265706.1	SNORD53B
ENSG00000095002.16	MSH2
ENSG00000116062.19	MSH6
ENSG00000242441.8	GTF2A1L
ENSG00000214595.13	EML6
ENSG00000289410.2	ENSG00000289410
ENSG00000289247.1	ENSG00000289247
ENSG00000075340.23	ADD2
ENSG00000258881.6	ENSG00000258881
ENSG00000228384.4	ENSG00000228384
ENSG00000272735.2	ENSG00000272735
ENSG00000223977.1	ENSG00000223977
ENSG00000248821.1	ENSG00000248821
ENSG00000084090.14	STARD7
ENSG00000204685.9	STARD7-AS1
ENSG00000198885.10	ITPRIPL1
ENSG00000278766.2	ENSG00000278766
ENSG00000272902.2	TBC1D8-AS1
ENSG00000135966.14	TGFBRAP1
ENSG00000234997.3	LINC02966
ENSG00000136709.12	WDR33
ENSG00000136731.13	UGGT1
ENSG00000136720.7	HS6ST1
ENSG00000214100.11	PLAC9P1
ENSG00000286058.2	ENSG00000286058
ENSG00000231240.1	KLF2P1
ENSG00000248313.1	CYP4F27P
ENSG00000290707.1	MED15P9
