Geneid	Genesymbol
ENSG00000290825.1	DDX11L2
ENSG00000227232.6	WASH7P
ENSG00000278267.1	MIR6859-1
ENSG00000243485.5	MIR1302-2HG
ENSG00000279928.2	DDX11L17
ENSG00000279457.4	WASH9P
ENSG00000273874.1	MIR6859-2
ENSG00000292994.1	ENSG00000292994
ENSG00000228463.11	ENSG00000228463
ENSG00000236679.2	RPL23AP24
ENSG00000233653.3	CICP7
ENSG00000250575.1	ENSG00000250575
ENSG00000293331.1	ENSG00000293331
ENSG00000225972.1	MTND1P23
ENSG00000225630.1	MTND2P28
ENSG00000237973.1	MTCO1P12
ENSG00000278791.1	ENSG00000278791
ENSG00000229344.1	MTCO2P12
ENSG00000240409.1	MTATP8P1
ENSG00000248527.1	MTATP6P1
ENSG00000198744.5	MTCO3P12
ENSG00000272438.1	ENSG00000272438
ENSG00000230415.1	LINC01786
ENSG00000162572.21	SCNN1D
ENSG00000131584.19	ACAP3
ENSG00000240731.1	ENSG00000240731
ENSG00000224870.9	MRPL20-AS1
ENSG00000272455.1	MRPL20-DT
ENSG00000284740.3	ENSG00000284740
ENSG00000272106.1	ENSG00000272106
ENSG00000008128.23	CDK11A
ENSG00000268575.1	ENSG00000268575
ENSG00000293188.1	ENSG00000293188
ENSG00000290854.1	ENSG00000290854
ENSG00000215790.9	SLC35E2A
ENSG00000227775.4	ENSG00000227775
ENSG00000182873.5	PRKCZ-AS1
ENSG00000287356.1	ENSG00000287356
ENSG00000116151.14	MORN1
ENSG00000292993.1	ENSG00000292993
ENSG00000158109.15	TPRG1L
ENSG00000116213.16	WRAP73
ENSG00000235169.11	SMIM1
ENSG00000198912.12	C1orf174
ENSG00000131697.18	NPHP4
ENSG00000158292.7	GPR153
ENSG00000270171.1	ENSG00000270171
ENSG00000180758.12	GPR157
ENSG00000231789.4	PIK3CD-AS2
ENSG00000160049.12	DFFA
ENSG00000203469.2	ENSG00000203469
ENSG00000204624.8	DISP3
ENSG00000162490.7	DRAXIN
ENSG00000177674.16	AGTRAP
ENSG00000177000.13	MTHFR
ENSG00000011021.23	CLCN6
ENSG00000175206.11	NPPA
ENSG00000083444.17	PLOD1
ENSG00000116691.11	MIIP
ENSG00000277058.3	HNRNPCL3
ENSG00000275774.3	HNRNPCL2
ENSG00000179412.11	HNRNPCL4
ENSG00000233954.7	UQCRHL
ENSG00000179743.4	SPEN-AS1
ENSG00000219481.11	NBPF1
ENSG00000291072.2	ENSG00000291072
ENSG00000215908.12	CROCCP2
ENSG00000283773.1	ENSG00000283773
ENSG00000186301.8	MST1P2
ENSG00000207513.1	RNU1-3
ENSG00000236698.1	EIF1AXP1
ENSG00000186715.12	MST1L
ENSG00000238142.4	ENSG00000238142
ENSG00000235241.1	ENSG00000235241
ENSG00000270728.1	ENSG00000270728
ENSG00000162543.6	UBXN10
ENSG00000090432.7	MUL1
ENSG00000187952.9	HS6ST1P1
ENSG00000232037.3	RPL21P29
ENSG00000285959.1	ENSG00000285959
ENSG00000218510.9	LINC00339
ENSG00000285752.1	CDC42-AS1
ENSG00000285794.1	ENSG00000285794
ENSG00000133216.17	EPHB2
ENSG00000236810.8	ELOA-AS1
ENSG00000001460.18	STPG1
ENSG00000001461.17	NIPAL3
ENSG00000162430.18	SELENON
ENSG00000142751.15	GPN2
ENSG00000229985.2	ENSG00000229985
ENSG00000243659.1	ENSG00000243659
ENSG00000142733.18	MAP3K6
ENSG00000158156.9	XKR8
ENSG00000228589.3	SPCS2P4
ENSG00000130772.14	MED18
ENSG00000180198.17	RCC1
ENSG00000242125.3	SNHG3
ENSG00000200087.1	SNORA73B
ENSG00000120656.14	TAF12
ENSG00000116329.12	OPRD1
ENSG00000233427.1	ENSG00000233427
ENSG00000225616.2	ENSG00000225616
ENSG00000215899.3	EEF1A1P46
ENSG00000160050.16	CCDC28B
ENSG00000290045.1	ENSG00000290045
ENSG00000175130.7	MARCKSL1
ENSG00000160058.19	BSDC1
ENSG00000273274.2	ZBTB8B
ENSG00000160097.21	FNDC5
ENSG00000142920.18	AZIN2
ENSG00000284773.1	ENSG00000284773
ENSG00000243749.2	TMEM35B
ENSG00000229994.1	RPL5P4
ENSG00000239636.3	TFAP2E-AS1
ENSG00000116819.9	TFAP2E
ENSG00000134698.11	AGO4
ENSG00000171812.13	COL8A2
ENSG00000286379.1	ENSG00000286379
ENSG00000163879.11	DNALI1
ENSG00000185668.8	POU3F1
ENSG00000228477.1	ENSG00000228477
ENSG00000131238.18	PPT1
ENSG00000259943.2	ZMPSTE24-DT
ENSG00000049089.15	COL9A2
ENSG00000084070.12	SMAP2
ENSG00000117016.10	RIMS3
ENSG00000010803.17	SCMH1
ENSG00000065978.19	YBX1
ENSG00000164010.15	ERMAP
ENSG00000228192.10	ZNF691-DT
ENSG00000186973.11	CFAP144
ENSG00000066322.15	ELOVL1
ENSG00000288772.2	ENSG00000288772
ENSG00000117410.14	ATP6V0B
ENSG00000178028.14	DMAP1
ENSG00000225721.5	ENSG00000225721
ENSG00000142937.12	RPS8
ENSG00000234093.3	RPS15AP11
ENSG00000126107.15	HECTD3
ENSG00000126088.14	UROD
ENSG00000162415.7	ZSWIM5
ENSG00000117481.11	NSUN4
ENSG00000269956.2	MKNK1-AS1
ENSG00000079277.22	MKNK1
ENSG00000235105.1	ENSG00000235105
ENSG00000234080.3	ENSG00000234080
ENSG00000233406.5	ENSG00000233406
ENSG00000121310.17	ECHDC2
ENSG00000162384.14	CZIB
ENSG00000211452.12	DIO1
ENSG00000081870.12	IFT25
ENSG00000219102.3	HNRNPA3P12
ENSG00000271723.5	MROH7-TTC4
ENSG00000243725.7	TTC4
ENSG00000162396.6	PARS2
ENSG00000223956.5	LINC01767
ENSG00000290536.1	ENSG00000290536
ENSG00000229887.5	HNRNPA1P6
ENSG00000185839.3	ENSG00000185839
ENSG00000228121.1	PHB1P3
ENSG00000240563.2	L1TD1
ENSG00000142856.17	ITGB3BP
ENSG00000185483.13	ROR1
ENSG00000177452.7	ENSG00000177452
ENSG00000234496.2	MRPS21P1
ENSG00000184588.18	PDE4B
ENSG00000197568.15	ANKRD13C-DT
ENSG00000227207.2	RPL31P12
ENSG00000259030.8	FPGT-TNNI3K
ENSG00000254685.8	FPGT
ENSG00000116783.15	TNNI3K
