,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
NEUROD6,0,3.6748555950034,0.928,0.067,0,0,NEUROD6
NEUROD2,0,3.21438318721682,0.911,0.045,0,0,NEUROD2
CSRP2,0,2.55865683192601,0.908,0.652,0,0,CSRP2
BHLHE22,0,2.36744206713336,0.67,0.028,0,0,BHLHE22
LMO3,0,2.1259855573517,0.563,0.189,0,0,LMO3
NFIB,0,2.08897678739862,0.907,0.363,0,0,NFIB
SLA,0,2.04924204739418,0.665,0.018,0,0,SLA
GPM6A,0,2.04548988993266,0.984,0.457,0,0,GPM6A
HGNC:24955,0,2.0338036892142,0.618,0.078,0,0,HGNC:24955
MEF2C,0,1.96479617619402,0.48,0.108,0,0,MEF2C
JPT1,0,1.83477019251226,0.676,0.338,0,0,JPT1
SYT4,0,1.81370581690324,0.612,0.082,0,0,SYT4
STMN2,0,1.75557981981121,0.934,0.395,0,0,STMN2
CPE,0,1.68910539176074,0.965,0.546,0,0,CPE
GAP43,0,1.61241255740124,0.898,0.46,0,0,GAP43
SOX11,0,1.61000839365995,0.986,0.799,0,0,SOX11
RTN1,0,1.58230503426817,0.901,0.393,0,0,RTN1
SSTR2,0,1.54536826089517,0.555,0.094,0,0,SSTR2
TUBA1C,0,1.51633531059117,0.684,0.531,0,0,TUBA1C
NELL2,0,1.47437931400442,0.704,0.252,0,0,NELL2
THSD7A,0,1.45352327284586,0.569,0.093,0,0,THSD7A
DCX,0,1.44229801300401,0.984,0.482,0,0,DCX
ENC1,0,1.43790222505266,0.679,0.304,0,0,ENC1
HGNC:18790,0,1.43396142599532,0.61,0.149,0,0,HGNC:18790
BASP1,0,1.43135661809755,0.997,0.883,0,0,BASP1
ZBTB18,0,1.42200723787158,0.649,0.097,0,0,ZBTB18
NFIA,0,1.39968258828165,0.775,0.291,0,0,NFIA
KIF5C,0,1.38971780801802,0.93,0.581,0,0,KIF5C
CAMKV,0,1.37473461515144,0.66,0.124,0,0,CAMKV
SNAP25,0,1.36493367313286,0.657,0.153,0,0,SNAP25
PCSK1N,0,1.33561326606634,0.944,0.524,0,0,PCSK1N
GRIA2,0,1.32250745286855,0.674,0.119,0,0,GRIA2
TTC9B,0,1.26992951826569,0.744,0.168,0,0,TTC9B
RBFOX2,0,1.26704649905604,0.9,0.505,0,0,RBFOX2
MLLT11,0,1.26064008734529,0.994,0.825,0,0,MLLT11
CELF2,0,1.24910865989355,0.839,0.464,0,0,CELF2
MAPT,0,1.24641818661275,0.792,0.246,0,0,MAPT
PPP2R2B,0,1.24360964565804,0.753,0.29,0,0,PPP2R2B
THRA,0,1.23533984638747,0.816,0.296,0,0,THRA
CRMP1,0,1.22710725004209,0.92,0.582,0,0,CRMP1
CAMK2B,0,1.22418923873745,0.57,0.081,0,0,CAMK2B
IDS,0,1.22352263377908,0.693,0.278,0,0,IDS
SYT1,0,1.22139670326338,0.896,0.524,0,0,SYT1
MAP1B,0,1.21361427880493,0.996,0.926,0,0,MAP1B
STMN4,0,1.20414187810603,0.911,0.451,0,0,STMN4
NBEA,0,1.19587385744169,0.58,0.183,0,0,NBEA
BCL11A,0,1.1945209571449,0.703,0.292,0,0,BCL11A
CALM1,0,1.17692847309846,0.984,0.921,0,0,CALM1
EEF1A2,0,1.16870073167418,0.562,0.114,0,0,EEF1A2
MAP2,0,1.16825359170239,0.895,0.465,0,0,MAP2
EXOC4,0,1.15556710188922,0.455,0.177,0,0,EXOC4
ARPP21,0,1.15040075119814,0.505,0.062,0,0,ARPP21
CDK5R1,0,1.1467811705918,0.706,0.189,0,0,CDK5R1
TMSB10,0,1.14320556723969,0.999,0.995,0,0,TMSB10
RAB3A,0,1.13859684048681,0.819,0.274,0,0,RAB3A
SOX4,0,1.12995818954747,1,0.946,0,0,SOX4
TMEM35A,0,1.1247218115088,0.488,0.087,0,0,TMEM35A
AFDN,0,1.12417572383724,0.573,0.191,0,0,AFDN
SNCA,0,1.12372304866501,0.627,0.218,0,0,SNCA
SYP,0,1.11494426208627,0.707,0.193,0,0,SYP
LY6H,0,1.11174397457547,0.717,0.249,0,0,LY6H
CHD3,0,1.11096913213847,0.71,0.234,0,0,CHD3
TSPAN13,0,1.09321456382705,0.839,0.462,0,0,TSPAN13
NRN1,0,1.08930253186879,0.479,0.086,0,0,NRN1
SOX5,0,1.08661718085187,0.557,0.131,0,0,SOX5
FRMD4B,0,1.08640816518069,0.573,0.179,0,0,FRMD4B
KIDINS220,0,1.08570610749387,0.765,0.35,0,0,KIDINS220
CAMK2N1,0,1.07906479881168,0.779,0.336,0,0,CAMK2N1
STMN1,0,1.07665981983931,0.999,0.98,0,0,STMN1
BEX1,0,1.07219769178786,0.938,0.685,0,0,BEX1
ELAVL3,0,1.07147360105377,0.908,0.402,0,0,ELAVL3
NCAM1,0,1.06276536757311,0.759,0.374,0,0,NCAM1
ID2,0,1.06196127410417,0.702,0.468,0,0,ID2
TUBA1A,0,1.05736145345214,1,0.967,0,0,TUBA1A
PAK3,0,1.03633361175349,0.858,0.426,0,0,PAK3
GNG3,0,1.03517831883179,0.754,0.326,0,0,GNG3
FAM49A,0,1.03429320294018,0.523,0.079,0,0,FAM49A
FGF13,0,1.03353363438746,0.643,0.302,0,0,FGF13
TMEM132A,0,1.02823933357346,0.678,0.261,0,0,TMEM132A
PDE1A,0,1.02405328689606,0.486,0.071,0,0,PDE1A
GPR22,0,1.019766708797,0.299,0.018,0,0,GPR22
TBR1,0,1.01304528464696,0.5,0.028,0,0,TBR1
RUFY3,0,1.01274438318875,0.84,0.455,0,0,RUFY3
CNTNAP2,0,1.01130019362521,0.645,0.409,0,0,CNTNAP2
VAMP2,0,1.0079264379449,0.937,0.686,0,0,VAMP2
DPYSL2,0,1.00437206618613,0.826,0.604,0,0,DPYSL2
BCHE,0,0.998959937381392,0.429,0.139,0,0,BCHE
SERPINI1,0,0.988186484103874,0.396,0.075,0,0,SERPINI1
CLMP,0,0.984882014933312,0.474,0.087,0,0,CLMP
TUBB2A,0,0.984610623796201,0.958,0.707,0,0,TUBB2A
SPTAN1,0,0.979038403743486,0.674,0.281,0,0,SPTAN1
ELAVL4,0,0.973370261198837,0.857,0.32,0,0,ELAVL4
CNIH2,0,0.972401099176689,0.575,0.141,0,0,CNIH2
TTC3,0,0.969441615768158,0.989,0.826,0,0,TTC3
SRGAP1,0,0.961179392180128,0.702,0.292,0,0,SRGAP1
SEZ6L2,0,0.956615994638262,0.721,0.26,0,0,SEZ6L2
