Supplementary table 2_5: Pearson correlation results of N-scRNA																																																										
Overall				Human-specific																	Common																						Chimpanzee-specific															
Hspecific	Common	Cspecific		cortical neurons		GM/S dorsal progenitors/radial glia		mesenchymal-like cells		midbrain/hindbrain	neuroectodermal-like cells		NSC/radial glia		NSCs	stem cells		ventral progenitors and neurons			cortical neurons				GM/S dorsal progenitors/radial glia				mesenchymal-like cells				midbrain/hindbrain	neuroectodermal-like cells	NSC/radial glia	NSCs	stem cells	ventral progenitors and neurons					cortical neurons		GM/S dorsal progenitors/radial glia		mesenchymal-like cells		midbrain/hindbrain	neuroectodermal-like cells		NSC/radial glia		NSCs		stem cells		ventral progenitors and neurons
n = 789	n = 214	n = 268		n = 11		n = 781		n = 9		n = 0	n = 2		n = 11		n = 0	n = 20		n = 62			n = 71				n = 78				n = 13				 n = 0	 n = 0	 n = 1	 n = 0	 n = 0	n = 3					n = 138		n = 30		n = 111		n = 1	n = 12		n = 11		n = 13		n = 47		n = 1
BCL11A	FEZF2	DRAXIN		pos	neg	pos	neg	pos	neg		pos	neg	pos	neg		pos	neg	pos	neg		human		chimp		human		chimp		human		chimp				pos in both species			human		chimp			pos	neg	pos	neg	pos	neg	pos	pos	neg	pos	neg	pos	neg	pos	neg	pos
CNTNAP2	RUNX1T1	IFI6		n = 4	n = 7	n = 293	n = 488	n = 5	n = 4		n = 2	n = 0	n = 9	n = 2		n = 20	n = 0	n = 35	n = 27		pos	neg	pos	neg	pos	neg	pos	neg	pos	neg	pos	neg						pos	neg	pos	neg		n = 108	n = 30	n = 15	n = 15	n = 74	n = 37	n = 1	n = 12	n = 0	n = 10	n = 1	n = 12	n = 1	n = 47	n = 0	n = 1
NEUROD2	CSRP2	MACF1		BCL11A	RPL37A	ACOT7	HES4	CELF2	PRRX1		CYP7B1		RP11-745L13.2	CRABP2		ATP6V1C2		CHD5	RPS8		n = 2	n = 69	n =  2	n = 69	n = 49	 n = 29	n =  49	 n = 29	n = 5	n = 8	n =  5	n = 8						n = 2	n = 1	n =  2	 n = 1		DRAXIN	PRDX1	MAP2	CAPG	FOXD3	MFAP2	LRP5L	FOXD3-AS1		BNIPL	EMX2	FOXD3-AS1	ACAT2	RHD		DCX
ACOT7	HES5	ATP6V0B		FEZF2	GNB2L1	CAPZB	MFAP2	ATP5G2	SPATS2L		NPLOC4		MET	RNF114		PROM2		PDE4DIP	RPL5		RUNX1T1	RPL22	RUNX1T1	RPL22	HES5	ENO1	HES5	ENO1	MARCKSL1	COL3A1	MARCKSL1	COL3A1			MARCKS			NFIB	SIX3	NFIB	SIX3		IFI6	NBEAL1	CXXC4	NCBP2-AS2	CNN3	CRABP2		RBMS3		TCP11		ECM1		ZNF684		
CAPZB	ELAVL4	DAB1		CNTNAP2	RPS6	STMN1	ID3	ERBB3	COL6A3				RP11-408A13.3			FRZB		NRXN1	RPS27A		CSRP2	RPL11	CSRP2	RPL11	ELAVL4	DMRTA2	ELAVL4	DMRTA2	FOXD3-AS1	COL1A2	FOXD3-AS1	COL1A2						TCF4		TCF4			MACF1	HES6	SCRG1	MAP1B	MPZ	CYP1B1		SEC22A		NR0B1		ARHGAP15		RIMS3		
STMN1	MLLT11	MIR137HG		NEUROD2	NACA	SH3BGRL3	SERINC2	ZNF207	LRRC17				ETS1			ATRIP.1		ERBB4	RPL15			RPS8		RPS8	MLLT11	RPL5	MLLT11	RPL5	RXRG	MGP	RXRG	MGP											ATP6V0B	EOMES	BASP1	RPL10A	C1orf198	CCDC80		NDST3		METTL7A		BCHE		NFYC-AS1		
SH3BGRL3	RGS16	CELF3			ALDOA	HMGN2	PPT1	DDX17					ABCC2			CAMK2A		SCG2	RPS3A			RPL5		RPL5	RGS16	C1orf61	RGS16	C1orf61	SLC35F1	LUM	SLC35F1	LUM											DAB1	OCIAD2	NPY	HSPB1	SCCPDH	TGFBI		NPR3		DCAF4		SCRG1		CIART		
HMGN2	CCDC88A	PBX1			RPL38	SFPQ	SLC2A1						TAS2R20			AC003090.1		SYNPR	EEF1A1			RPS27		RPS27	RND3	EMX1	RND3	EMX1	AP1S2	DCN	AP1S2	DCN											MIR137HG	CCNI	NTRK2	GPC3	NRXN1	RPS18		PPIC		GSDMB		HSPB3		CCDC181		
SFPQ	RND3	TNR			RPS28	CLSPN	PTPRF						RPS26			LINC-PINT		PDZRN3	MEST			RPS7		RPS7	STK39	FEZF2	STK39	FEZF2		MFAP4		MFAP4											CELF3	H2AFZ	BTG1	RPS6	MAL	PCOLCE		GFRA3		WNK4		HBEGF		NID1		
CLSPN	FIGN	NAV1				RIMKLA	RAB3B						RP11-290D2.3			C8orf48		FGF12	SLC25A6			RPS27A		RPS27A	DLX1	HES1	DLX1	HES1		COL1A1		COL1A1											PBX1	C6orf48	NIN	SERPING1	ARID5A	MEST		HIST1H2AL		AMH		CDKN1A		SLCO2A1		
RIMKLA	STK39	ZBTB18				YBX1	PLPP3						MKRN3-AS1			CPQ		NR3C2	RPS4X			RPL31		RPL31	DLX2	PYURF	DLX2	PYURF		COL6A2		COL6A2											TNR	RPS10	FGF7	CAPN1	GPR17	EFNB1		NPY		AC073352.2		PLP1		DZIP1L		
YBX1	DLX1	MYT1L				CDKN2C	JUN									BDNF-AS		MEF2C	RPL39			RPL32		RPL32	SP9	EEF1A1	SP9	EEF1A1															NAV1	EZR	RPS27L	RPS24	ARHGAP15	GPC3		VGF		AC009318.4		CELF2		WWTR1-AS1		
CDKN2C	DLX2	KIDINS220				USP1	HHLA3									TMEM117		HIST1H4C	RPL7			RPL15		RPL15	MYO1B	HMGN3	MYO1B	HMGN3															ZBTB18	PTN	CALB2	GAPDH	NR4A2	SDC2		PLIN5				TIMP3		MCF2L2		
USP1	SP9	NCOA1				TTLL7	CRYZ									RP11-408B11.2		CNR1	EIF3E			RPL14		RPL14	PID1	HDDC2	PID1	HDDC2															MYT1L	RPS4X	RAB31	PHB2	FIGN	LY6E		AC023983.2				SOX10		ARHGEF37		
TTLL7	MYO1B	SLC8A1				GNG5	TYW3									RP11-497G19.2		AKAP7	TLE4			RPL29		RPL29	HES6	EZR	HES6	EZR															KIDINS220	RPL36A	MT-CO2	ATXN7L3B	ITGA6	PSAT1								TNXB		
GNG5	PID1	SPTBN1				SRGAP2B	IFI44L									LINC00327		VIP	TLE1			RPL24		RPL24	PDZRN3	MAGED2	PDZRN3	MAGED2															NCOA1	EIF3E	AC009570.1	NAP1L1	KCNH8	OGN								BVES-AS1		
SRGAP2B	HES6	RTN4				HIST2H2AC	DDAH1									CHRFAM7A		COBL	RPS3			RPL35A		RPL35A	PFN2	COL4A6	PFN2	COL4A6															SLC8A1	EIF3F	AC092127.2	RACK1	TGFBR2	ASS1								CCZ1B		
HIST2H2AC	PDZRN3	REEP1				ANP32E	CYR61									RP11-82L7.4		VSTM2A	ZNF503			RPL9		RPL9	CHIC2	SOX3	CHIC2	SOX3															SPTBN1	RPS26			BCHE	COL5A1								CROT		
ANP32E	PFN2	R3HDM1				RAB13	CNN3									ZNF527		DLX6-AS1	RPL6			RPL34		RPL34	GSX2	CLU	GSX2	CLU															RTN4	BTG1			SORBS2	IGF2								ZCCHC12		
RAB13	CRMP1	KIF5C				ARHGEF2	VCAM1									KLK10		RHEB	COMMD6			RPS3A		RPS3A	SUB1	SFRP1	SUB1	SFRP1															CCDC88A	UBC			GDNF	CREB3L1								PNCK		
ARHGEF2	CHIC2	SCN3A				HDGF	DPH5									GAS2L1		AP1S2	MEIS2			RPL37		RPL37	DPYSL3	PSAT1	DPYSL3	PSAT1															REEP1	COMMD6			PARP8	FTH1								STMN4		
