Geneid	Genesymbol
ENSG00000284733.2	OR4F29
ENSG00000237973.1	MTCO1P12
ENSG00000291215.1	ENSG00000291215
ENSG00000272438.1	ENSG00000272438
ENSG00000223764.2	LINC02593
ENSG00000184163.3	C1QTNF12
ENSG00000225905.1	ANKRD65-AS1
ENSG00000287356.1	ENSG00000287356
ENSG00000229393.1	ENSG00000229393
ENSG00000177133.14	PRDM16-DT
ENSG00000272235.1	ENSG00000272235
ENSG00000078900.16	TP73
ENSG00000289893.1	ENSG00000289893
ENSG00000069424.16	KCNAB2
ENSG00000271746.1	ENSG00000271746
ENSG00000274258.1	MIR6728
ENSG00000180758.12	GPR157
ENSG00000234546.5	LNCTAM34A
ENSG00000171608.18	PIK3CD
ENSG00000116663.11	FBXO6
ENSG00000215910.8	C1orf167
ENSG00000028137.19	TNFRSF1B
ENSG00000288927.2	ENSG00000288927
ENSG00000291077.1	ENSG00000291077
ENSG00000237276.10	ANO7L1
ENSG00000280114.1	ENSG00000280114
ENSG00000290849.1	ENSG00000290849
ENSG00000268869.9	ESPNP
ENSG00000070886.12	EPHA8
ENSG00000249087.9	ZNF436-AS1
ENSG00000117318.9	ID3
ENSG00000117602.13	RCAN3
ENSG00000272432.1	ENSG00000272432
ENSG00000142765.18	SYTL1
ENSG00000287244.1	ENSG00000287244
ENSG00000230833.1	RPEP3
ENSG00000130770.18	ATP5IF1
ENSG00000270605.1	ENSG00000270605
ENSG00000188060.8	RAB42
ENSG00000287510.1	ENSG00000287510
ENSG00000162511.8	LAPTM5
ENSG00000266210.2	RN7SL371P
ENSG00000142910.16	TINAGL1
ENSG00000134668.13	SPOCD1
ENSG00000225828.2	FAM229A
ENSG00000142920.18	AZIN2
ENSG00000184389.9	A3GALT2
ENSG00000293382.1	GPR199P
ENSG00000171812.13	COL8A2
ENSG00000224592.5	MIR3659HG
ENSG00000049089.15	COL9A2
ENSG00000117013.17	KCNQ4
ENSG00000197273.4	GUCA2A
ENSG00000164007.11	CLDN19
ENSG00000066056.15	TIE1
ENSG00000237950.3	LINC02918
ENSG00000288573.3	ENSG00000288573
ENSG00000188396.4	DYNLT4
ENSG00000222009.9	BTBD19
ENSG00000162415.7	ZSWIM5
ENSG00000291138.1	ENSG00000291138
ENSG00000238145.2	TUBAP8
