study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	library_strategy	fastq_ftp	submitted_ftp	sra_ftp	sample_title	bam_ftp
PRJNA289483	SAMN03854161	SRX1091564	SRR2096447	9606	Homo sapiens	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/007/SRR2096447/SRR2096447_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/007/SRR2096447/SRR2096447_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR209/007/SRR2096447	RNAseq_human1_rep2	
PRJNA289483	SAMN03854162	SRX1091565	SRR2096448	9606	Homo sapiens	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/008/SRR2096448/SRR2096448_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/008/SRR2096448/SRR2096448_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR209/008/SRR2096448	RNAseq_human2_rep1	
PRJNA289483	SAMN03854165	SRX1091568	SRR2096451	9606	Homo sapiens	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/001/SRR2096451/SRR2096451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/001/SRR2096451/SRR2096451_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR209/001/SRR2096451	RNAseq_human3_rep2	
PRJNA289483	SAMN03854167	SRX1091570	SRR2096453	9598	Pan troglodytes	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/003/SRR2096453/SRR2096453_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/003/SRR2096453/SRR2096453_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR209/003/SRR2096453	RNAseq_chimp1_rep2	
PRJNA289483	SAMN03854199	SRX1091563	SRR2096446	9606	Homo sapiens	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/006/SRR2096446/SRR2096446_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/006/SRR2096446/SRR2096446_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR209/006/SRR2096446	RNAseq_human1_rep1	
PRJNA289483	SAMN03854163	SRX1091566	SRR2096449	9606	Homo sapiens	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/009/SRR2096449/SRR2096449_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/009/SRR2096449/SRR2096449_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR209/009/SRR2096449	RNAseq_human2_rep2	
PRJNA289483	SAMN03854164	SRX1091567	SRR2096450	9606	Homo sapiens	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/000/SRR2096450/SRR2096450_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/000/SRR2096450/SRR2096450_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR209/000/SRR2096450	RNAseq_human3_rep1	
PRJNA289483	SAMN03854166	SRX1091569	SRR2096452	9598	Pan troglodytes	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/002/SRR2096452/SRR2096452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/002/SRR2096452/SRR2096452_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR209/002/SRR2096452	RNAseq_chimp1_rep1	
PRJNA289483	SAMN03854200	SRX1091571	SRR2096454	9598	Pan troglodytes	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/004/SRR2096454/SRR2096454_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/004/SRR2096454/SRR2096454_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR209/004/SRR2096454	RNAseq_chimp2_rep1	
PRJNA289483	SAMN03854168	SRX1091572	SRR2096455	9598	Pan troglodytes	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/005/SRR2096455/SRR2096455_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR209/005/SRR2096455/SRR2096455_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR209/005/SRR2096455	RNAseq_chimp2_rep2	
