Geneid	Genesymbol
ENSG00000268903.1	ENSG00000268903
ENSG00000278791.1	ENSG00000278791
ENSG00000272438.1	ENSG00000272438
ENSG00000223764.2	LINC02593
ENSG00000187608.10	ISG15
ENSG00000162572.21	SCNN1D
ENSG00000234546.5	LNCTAM34A
ENSG00000231789.4	PIK3CD-AS2
ENSG00000173614.14	NMNAT1
ENSG00000132879.14	FBXO44
ENSG00000162490.7	DRAXIN
ENSG00000028137.19	TNFRSF1B
ENSG00000206652.1	RNU1-1
ENSG00000207513.1	RNU1-3
ENSG00000231105.2	ECE1-AS1
ENSG00000236216.5	PPP1R11P1
ENSG00000162552.15	WNT4
ENSG00000232482.2	ENSG00000232482
ENSG00000117318.9	ID3
ENSG00000117305.15	HMGCL
ENSG00000179163.12	FUCA1
ENSG00000117602.13	RCAN3
ENSG00000231207.1	ENSG00000231207
ENSG00000181773.7	GPR3
ENSG00000117758.14	STX12
ENSG00000253304.2	TMEM200B
ENSG00000121753.13	ADGRB2
ENSG00000269967.1	ENSG00000269967
ENSG00000162526.7	TSSK3
ENSG00000160062.15	ZBTB8A
ENSG00000232862.6	ENSG00000232862
ENSG00000214193.11	SH3D21
ENSG00000286379.1	ENSG00000286379
ENSG00000260920.2	ENSG00000260920
ENSG00000178922.18	HYI
ENSG00000229444.1	ST3GAL3-AS1
ENSG00000159214.13	CCDC24
ENSG00000173846.13	PLK3
ENSG00000188396.4	DYNLT4
ENSG00000134744.14	TUT4
ENSG00000157184.7	CPT2
ENSG00000174332.6	GLIS1
ENSG00000081870.12	IFT25
ENSG00000116209.12	TMEM59
ENSG00000230728.1	ENSG00000230728
ENSG00000162604.13	TM2D1
ENSG00000236646.1	LAMTOR5P1
ENSG00000177414.14	UBE2U
ENSG00000259030.8	FPGT-TNNI3K
ENSG00000116783.15	TNNI3K
ENSG00000162623.16	TYW3
ENSG00000226415.1	TPI1P1
ENSG00000226084.5	RPL17P6
ENSG00000180488.17	MIGA1
ENSG00000234683.1	ENSG00000234683
ENSG00000162643.13	DNAI3
ENSG00000143033.18	MTF2
ENSG00000117525.14	F3
ENSG00000271092.5	TLCD4-RWDD3
ENSG00000122481.17	RWDD3
ENSG00000213366.13	GSTM2
ENSG00000184371.14	CSF1
ENSG00000134248.14	LAMTOR5
ENSG00000156171.15	DRAM2
ENSG00000116774.12	OLFML3
ENSG00000285698.1	ENSG00000285698
ENSG00000163393.13	SLC22A15
ENSG00000237993.1	ENSG00000237993
ENSG00000186364.12	NUDT17
ENSG00000121851.13	POLR3GL
ENSG00000291232.1	ENSG00000291232
ENSG00000178096.9	BOLA1
ENSG00000159208.16	CIART
ENSG00000203804.5	ADAMTSL4-AS1
ENSG00000163191.6	S100A11
ENSG00000143554.14	SLC27A3
ENSG00000272654.2	JTB-DT
ENSG00000143603.19	KCNN3
ENSG00000271380.1	ENSG00000271380
ENSG00000143590.14	EFNA3
ENSG00000169241.19	SLC50A1
ENSG00000185499.17	MUC1
ENSG00000206651.1	Y_RNA
ENSG00000158710.15	TAGLN2
ENSG00000162745.11	OLFML2B
ENSG00000075945.13	KIFAP3
ENSG00000116132.12	PRRX1
ENSG00000230630.5	DNM3OS
ENSG00000283844.1	MIR214
ENSG00000283152.1	MIR3120
ENSG00000208024.1	MIR199A2
ENSG00000234741.10	GAS5
ENSG00000270084.2	GAS5-AS1
ENSG00000223828.1	BANF1P4
ENSG00000235145.2	RPSAP16
ENSG00000261817.1	ENSG00000261817
ENSG00000143344.16	RGL1
ENSG00000198756.12	COLGALT2
ENSG00000116668.13	SWT1
ENSG00000157181.16	ODR4
ENSG00000073756.13	PTGS2
ENSG00000203724.11	C1orf53
ENSG00000260088.1	DDX59-AS1
ENSG00000077152.12	UBE2T
ENSG00000122180.5	MYOG
ENSG00000159388.6	BTG2
ENSG00000285521.1	ENSG00000285521
ENSG00000227887.1	RPS26P13
ENSG00000082512.15	TRAF5
ENSG00000153363.15	LINC00467
ENSG00000143353.12	LYPLAL1
ENSG00000118873.17	RAB3GAP2
ENSG00000154309.9	DISP1
ENSG00000234523.1	NDUFB1P2
ENSG00000143753.14	DEGS1
ENSG00000143786.8	CNIH3
ENSG00000224834.1	BTF3P9
ENSG00000143774.18	GUK1
ENSG00000273416.1	ENSG00000273416
ENSG00000086619.15	ERO1B
ENSG00000054282.16	SDCCAG8
ENSG00000235688.3	SNTG2-AS1
ENSG00000115738.10	ID2
ENSG00000239899.3	RN7SL674P
ENSG00000243847.3	RN7SL610P
ENSG00000268412.2	TRMT112P6
ENSG00000214465.3	SMARCE1P6
ENSG00000138085.18	ATRAID
ENSG00000115226.10	FNDC4
ENSG00000171094.18	ALK
ENSG00000197644.2	ENSG00000197644
ENSG00000119801.13	YPEL5
ENSG00000276334.1	ENSG00000276334
ENSG00000171055.15	FEZ2
ENSG00000008869.12	HEATR5B
ENSG00000138050.15	THUMPD2
ENSG00000162881.7	OXER1
ENSG00000152527.14	PLEKHH2
ENSG00000138036.18	DYNC2LI1
ENSG00000138079.14	SLC3A1
ENSG00000143919.16	CAMKMT
ENSG00000233426.3	EIF3FP3
ENSG00000293434.1	AHSA2P
ENSG00000173209.24	AHSA2P
ENSG00000225889.10	ENSG00000225889
ENSG00000225439.4	BOLA3-DT
ENSG00000005448.17	WDR54
ENSG00000115289.14	PCGF1
ENSG00000115318.12	LOXL3
ENSG00000005436.14	GCFC2
ENSG00000200488.1	RN7SKP203
ENSG00000235847.2	LDHAP7
ENSG00000168894.10	RNF181
ENSG00000132300.19	PTCD3
ENSG00000228486.11	C2orf92
ENSG00000170485.17	NPAS2
ENSG00000223947.1	ENSG00000223947
